Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
0.58,-102.3424,26.02959,-0.44414,656.47984,667.95469,667.62554
0.58333,-91.93391,26.2825,0.71453,656.81445,666.28197,665.45094
0.58667,-99.7404,26.09282,2.20425,657.14899,667.95469,666.45464
0.59,-91.93391,25.96633,-0.77518,656.98172,666.28197,666.45464
0.59333,-95.83691,26.02959,1.2111,657.14899,666.95106,665.1164
0.59667,-103.6434,25.71342,0.88006,657.48353,667.2856,666.12003
0.6,-104.9444,25.65019,-0.27861,656.31257,667.2856,668.29462
0.60333,-103.6434,25.65019,0.05243,656.1453,665.94737,667.29099
0.60667,-98.4394,25.71342,1.87321,656.64718,665.61282,665.45094
0.61,-103.6434,25.90311,0.88006,656.98172,667.78742,665.78549
0.61333,-98.4394,25.71342,0.54901,657.48353,667.45287,667.12372
0.61667,-98.4394,26.21927,0.38349,656.47984,665.94737,665.78549
0.62,-99.7404,25.96633,1.87321,656.81445,666.28197,665.61822
0.62333,-98.4394,25.83988,0.54901,657.14899,666.95106,667.45827
0.62667,-107.5464,25.77665,0.88006,655.14167,666.44924,666.28737
0.63,-98.4394,25.96633,1.54216,655.97803,666.28197,664.61459
0.63333,-97.13791,25.96633,2.03873,658.31989,666.95106,666.12003
0.63667,-101.0414,25.90311,0.05243,656.64718,667.62014,667.12372
0.64,-103.6434,25.65019,0.05243,654.63986,665.94737,666.12003
0.64333,-102.3424,26.15604,2.03873,657.81808,665.94737,666.28737
0.64667,-99.7404,25.77665,-0.11309,656.47984,666.78379,666.95645
0.65,-108.8474,25.58696,-0.60966,656.81445,665.94737,665.95276
0.65333,-108.8474,26.15604,2.03873,657.48353,666.11464,665.61822
0.65667,-103.6434,25.83988,0.21795,655.97803,666.44924,666.78918
0.66,-99.7404,25.90311,0.38349,657.6508,664.6092,666.12003
0.66333,-99.7404,25.71342,1.37664,657.48353,667.78742,666.95645
0.66667,-97.13791,25.39728,-0.11309,656.1453,668.28929,667.62554
0.67,-97.13791,25.90311,0.21795,656.47984,666.11464,666.62191
0.67333,-99.7404,25.96633,0.71453,657.6508,667.11833,665.45094
0.67667,-103.6434,25.65019,1.37664,657.48353,667.62014,665.45094
0.68,-110.1484,25.71342,0.05243,655.97803,666.28197,666.45464
0.68333,-97.13791,26.02959,0.54901,657.31626,666.44924,665.1164
0.68667,-97.13791,25.96633,0.88006,656.47984,667.78742,665.1164
0.69,-98.4394,25.77665,-0.44414,656.64718,667.78742,667.45827
0.69333,-101.0414,25.77665,0.21795,654.9744,666.28197,666.45464
0.69667,-97.13791,25.46051,0.38349,656.98172,665.27828,665.45094
0.7,-106.2454,25.65019,1.54216,657.31626,667.2856,665.95276
0.70333,-97.13791,25.58696,1.04558,656.98172,667.45287,666.78918
0.70667,-97.13791,25.71342,-0.11309,657.98535,666.78379,668.7965
0.71,-108.8474,25.83988,0.54901,655.14167,666.78379,665.95276
0.71333,-97.13791,26.02959,2.20425,656.47984,665.44555,667.29099
0.71667,-90.63291,25.58696,2.36977,657.14899,666.95106,666.12003
0.72,-94.53591,25.52373,0.21795,656.31257,667.45287,666.62191
0.72333,-97.13791,25.52373,-0.60966,656.31257,666.28197,667.29099
0.72667,-102.3424,25.77665,0.88006,657.81808,665.61282,665.28367
0.73,-104.9444,25.90311,1.87321,656.31257,667.11833,665.61822
0.73333,-97.13791,25.27082,1.04558,657.81808,669.12565,667.45827
0.73667,-103.6434,25.58696,0.38349,656.31257,666.11464,667.62554
0.74,-94.53591,25.71342,-0.27861,656.98172,666.28197,665.45094
0.74333,-103.6434,25.58696,2.53531,658.31989,666.95106,666.45464
0.74667,-95.83691,25.33405,0.21795,655.81076,667.11833,667.62554
0.75,-97.13791,26.02959,0.38349,655.64348,665.44555,664.61459
0.75333,-98.4394,25.71342,1.37664,655.81076,667.11833,665.95276
0.75667,-102.3424,25.71342,0.71453,657.81808,667.2856,668.7965
0.76,-116.65389,25.65019,0.21795,656.31257,666.44924,667.12372
0.76333,-101.0414,25.90311,1.54216,656.98172,666.95106,666.12003
0.76667,-104.9444,25.71342,0.88006,656.81445,668.28929,667.96008
0.77,-95.83691,25.77665,1.70768,655.97803,666.28197,666.28737
0.77333,-97.13791,25.96633,2.03873,658.82177,667.62014,666.12003
0.77667,-91.93391,25.71342,-0.27861,655.30894,667.45287,666.78918
0.78,-101.0414,25.71342,0.38349,656.47984,664.44192,666.28737
0.78333,-121.85789,25.77665,0.88006,657.81808,667.62014,666.45464
